[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [exec-1]: process started with pid [3307]
[exec-1] [INFO] [1700515611.461391183] [laserdrive]: Range at -90: 0.17925000190734863
[exec-1] [INFO] [1700515611.461971342] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515611.537451651] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515611.537805417] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515611.538143332] [laserdrive]: Range at -90: 0.16975000500679016
[exec-1] [INFO] [1700515611.538460288] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515611.658425022] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515611.662320495] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515611.663705921] [laserdrive]: Range at -90: 0.16224999725818634
[exec-1] [INFO] [1700515611.664160260] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515611.728425537] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515611.728897658] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515611.729201219] [laserdrive]: Range at -90: 0.15674999356269836
[exec-1] [INFO] [1700515611.729693008] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515611.826754957] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515611.827484532] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515611.829862145] [laserdrive]: Range at -90: 16.0
[exec-1] [INFO] [1700515611.831412126] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515611.870637491] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515611.871215094] [laserdrive]: Range at 90: 0.0
[exec-1] [INFO] [1700515611.873032817] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515611.873519417] [laserdrive]: Range at 3.1415927410125732: 16.0
[exec-1] [INFO] [1700515611.986060853] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515611.987560217] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515611.988036707] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515611.988445879] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515612.050461217] [laserdrive]: Range at 0: 16.0
[exec-1] [INFO] [1700515612.051359344] [laserdrive]: Range at 90: 16.0
[exec-1] [INFO] [1700515612.051696918] [laserdrive]: Range at -90: 0.0
[exec-1] [INFO] [1700515612.052043360] [laserdrive]: Range at 3.1415927410125732: 0.0
[exec-1] [INFO] [1700515612.116521244] [laserdrive]: Range at 0: 0.0
[exec-1] [INFO] [1700515612.118404807] [laserdrive]: Range at 90: 3.7302498817443848
[exec-1] [INFO] [1700515612.124213735] [laserdrive]: Range at -90: 16.0
